num_qubits,reps,num_params,pennylane_param_shift_mean_s,pennylane_param_shift_std_s
4,1,16,0.01135991660000002,0.00014081553581846295
4,10,88,0.26850388359999994,0.011446901916956551
4,20,168,0.9618795082000006,0.04207942795054442
4,30,248,2.0757927580000004,0.03210977386973915
4,40,328,3.629716491600001,0.030502750048352848
4,50,408,5.653056458399999,0.07511827347211215
4,60,488,8.090715583200003,0.08614251962767085
