qubits,reps,qiskit_s,catalyst_s,qiskit_pyalloc_mb,catalyst_pyalloc_mb,qiskit_depth,catalyst_depth
1,2,0.005198332999999833,0.4948945,0.17125606536865234,3.661147117614746,15,4
4,2,0.008113125000000387,0.4940960830000005,0.2685050964355469,3.1593103408813477,20,9
8,2,0.009914166999999807,0.5232958340000007,0.30756664276123047,3.1660375595092773,24,13
12,2,0.01188837499999984,0.543667082999999,0.3221445083618164,3.319131851196289,28,17
16,2,0.014443374999999037,0.5704497920000016,0.4280662536621094,3.155599594116211,32,21
20,2,0.01908970899999929,0.6435797500000007,0.4174985885620117,3.228573799133301,36,25
24,2,0.019356333999997588,0.6346555420000008,0.5221691131591797,2.9864368438720703,40,29
28,2,0.021732249999999453,0.6461318329999983,0.4793701171875,3.123488426208496,44,33
32,2,0.024358667000001333,0.6831706669999988,0.5242891311645508,3.0143508911132812,48,37
